label,location,date,value,group
Nike,93,2018,11,Nike (+2)
Nike,75,2011,9,Nike (+2)
Nike,75,2012,11,Nike (+2)
Nike,78,2015,1,Nike (+2)
Nike,92,2015,2,Nike (+2)
Nike,67,2010,1,Nike (+2)
Nike,75,2014,16,Nike (+2)
Nike,13,2014,2,Nike (+2)
Nike,13,2002,1,Nike (+2)
Nike,75,2013,21,Nike (+2)
Nike,91,2017,2,Nike (+2)
Nike,91,2008,1,Nike (+2)
Nike,25,2015,1,Nike (+2)
Nike,25,2016,3,Nike (+2)
Nike,13,2016,2,Nike (+2)
Nike,13,2010,2,Nike (+2)
Nike,91,2019,5,Nike (+2)
Nike,75,2019,4,Nike (+2)
Nike,75,2000,1,Nike (+2)
Nike,34,2009,1,Nike (+2)
Nike,94,2014,2,Nike (+2)
Nike,38,2013,2,Nike (+2)
Nike,92,1997,1,Nike (+2)
Nike,59,2020,3,Nike (+2)
Nike,59,2015,5,Nike (+2)
Nike,59,2019,1,Nike (+2)
Nike,92,2017,2,Nike (+2)
Nike,67,2008,1,Nike (+2)
Nike,28,2008,3,Nike (+2)
Nike,93,2016,5,Nike (+2)
Nike,93,2013,9,Nike (+2)
Nike,78,2016,1,Nike (+2)
Nike,31,2015,2,Nike (+2)
Nike,75,2018,12,Nike (+2)
Nike,33,2016,1,Nike (+2)
Nike,93,2012,5,Nike (+2)
Nike,91,2015,2,Nike (+2)
Nike,33,2009,1,Nike (+2)
Nike,35,2018,2,Nike (+2)
Nike,35,2016,3,Nike (+2)
Nike,93,2015,5,Nike (+2)
Nike,92,2010,2,Nike (+2)
Nike,92,2004,1,Nike (+2)
Nike,76,2004,1,Nike (+2)
Nike,33,2013,1,Nike (+2)
Nike,76,2020,1,Nike (+2)
Nike,92,2018,1,Nike (+2)
Nike,75,2017,7,Nike (+2)
Nike,78,2008,1,Nike (+2)
Nike,93,1998,2,Nike (+2)
Nike,93,2002,2,Nike (+2)
Nike,25,2017,1,Nike (+2)
Nike,25,2007,1,Nike (+2)
Nike,78,2012,1,Nike (+2)
Nike,33,2006,2,Nike (+2)
Nike,35,2015,1,Nike (+2)
Nike,44,2005,1,Nike (+2)
Nike,31,2003,2,Nike (+2)
Nike,27,2016,2,Nike (+2)
Nike,75,2015,13,Nike (+2)
Nike,93,2006,3,Nike (+2)
Nike,91,2010,2,Nike (+2)
Nike,93,2019,3,Nike (+2)
Nike,93,2014,5,Nike (+2)
Nike,93,2017,3,Nike (+2)
Nike,91,2014,8,Nike (+2)
Nike,6,2015,1,Nike (+2)
Nike,6,2014,1,Nike (+2)
Nike,93,1996,2,Nike (+2)
Nike,31,2002,1,Nike (+2)
Nike,95,2010,1,Nike (+2)
Nike,94,2019,3,Nike (+2)
Nike,94,2018,2,Nike (+2)
Nike,75,2020,3,Nike (+2)
Nike,71,2016,1,Nike (+2)
Nike,44,2016,1,Nike (+2)
Nike,44,2017,2,Nike (+2)
Nike,78,2018,2,Nike (+2)
Nike,93,2011,1,Nike (+2)
Nike,31,2006,1,Nike (+2)
Nike,92,2011,1,Nike (+2)
Nike,78,2001,1,Nike (+2)
Nike,94,2020,2,Nike (+2)
Nike,13,2017,3,Nike (+2)
Nike,75,2009,5,Nike (+2)
Nike,33,2014,2,Nike (+2)
Nike,75,2016,8,Nike (+2)
Nike,92,2014,1,Nike (+2)
Nike,92,2013,2,Nike (+2)
Nike,92,2019,2,Nike (+2)
Nike,83,2018,1,Nike (+2)
Nike,33,2015,2,Nike (+2)
Nike,13,2007,1,Nike (+2)
Nike,93,2005,3,Nike (+2)
Nike,38,2004,1,Nike (+2)
Nike,38,2016,1,Nike (+2)
Nike,75,2005,4,Nike (+2)
Nike,91,2018,9,Nike (+2)
Nike,13,2011,1,Nike (+2)
Nike,94,2012,2,Nike (+2)
